source_id,name,address,facility_type,business_type,risk_class,latest_inspection_date,latest_remark,inspection_count,latitude,longitude,source
C64C29F0-DEC3-437E-8A10-5CBDECF21DE4,Creperie Fyra Knop,Svartensgatan 4,,"Restaurang-, catering- och barverksamhet",6.0,2025-04-10,Utan avvikelse,10,59.317229407518525,18.07231445859486,Stockholms stad livsmedelskontroll
C79FCA9A-E5BD-40F1-80BA-3B9057582E38,Crispy Pizza Bistro Sthlm AB,Upplandsgatan 45,,"Restaurang-, catering- och barverksamhet",6.0,2025-06-24,Utan avvikelse,9,59.34129728064557,18.049678862683567,Stockholms stad livsmedelskontroll
655069F7-90A1-493C-A5D5-5D63E053636B,Crêperie Rustique,Hjälmarsvägen 4,,"Restaurang-, catering- och barverksamhet",7.0,2025-03-20,Utan avvikelse,13,59.29972390189948,18.056322942293026,Stockholms stad livsmedelskontroll
2F713330-CDAB-45DF-8189-9A8A2C734AF0,Curry Mahal,Rinkebytorget 4,,"Restaurang-, catering- och barverksamhet",6.0,2025-01-30,Utan avvikelse,16,59.38804578533905,17.92813310527965,Stockholms stad livsmedelskontroll
8ABB8535-ACF6-4677-AE75-1B0191B5C946,D. Pub & Bar,Sankt eriksgatan 53A,,"Restaurang-, catering- och barverksamhet",,2025-08-27,,17,59.33561565078216,18.033216062609903,Stockholms stad livsmedelskontroll
5510ECB4-8012-436D-9289-2027DA9D76DE,DES PERDES,Åvingegränd 11,,Detaljhandel,,2025-07-29,Utan avvikelse,9,59.39707388487073,17.908177360237858,Stockholms stad livsmedelskontroll
68F41ABA-83E9-40B0-A0D7-81FC95FDF2BB,DIN-DIN Club Fleminggatan,Fleminggatan 49,,"Restaurang-, catering- och barverksamhet",,2025-06-27,,9,59.333571938266694,18.038484928690146,Stockholms stad livsmedelskontroll
13735ECA-E419-4A79-B17F-028E12D3C9AE,Dagab Inköp & Logistik AB Huvudkontor,Solnavägen 4,,Anläggningar som producerar material som kommer i kontakt med livsmedel,8.0,2025-10-01,Utan avvikelse,15,59.34640108642683,18.033692488564952,Stockholms stad livsmedelskontroll
3E689EEA-4707-4AED-ADAD-F03EA213D4F0,Dagliljan,Carl sebardts väg 4C,,"Restaurang-, catering- och barverksamhet",,2025-04-22,Utan avvikelse,7,59.25180879659628,18.12589141591259,Stockholms stad livsmedelskontroll
273287F9-2CC1-4A63-8EB3-B7A65493097D,Daisy's,Arenavägen 29,,"Restaurang-, catering- och barverksamhet",,2025-09-02,Utan avvikelse,9,59.295624411186814,18.080673171845454,Stockholms stad livsmedelskontroll
