source_id,source_name,source_record_name,place_name,osm_type,osm_id,match_score,match_reason,distance_meters
1E1665D1-4DDA-4604-9D96-263958CA6AA7,Stockholms stad livsmedelskontroll,Scarpetta by Ingrosso,Scarpetta by Ingrosso,catalog,3818131915,0.9843,nearby coordinates and similar name,14.1
0FBC7B9F-24EC-4CEF-8BEA-3DE8DF0DB7D5,Stockholms stad livsmedelskontroll,Shaah Macaan,Shaah Macaan,catalog,3007720800,0.9965,nearby coordinates and similar name,3.1
A89BC57F-20C4-40CC-B316-339668F07A2A,Stockholms stad livsmedelskontroll,Shanti Soft Corner,Shanti Softcorner,catalog,585741999,0.9967,nearby coordinates and similar name,3.0
4EC8950B-3B03-4320-AA9D-C3DF40EBCD7B,Stockholms stad livsmedelskontroll,SoFo sushi&ramen,SoFo Sushi & Ramen,catalog,2075741038,0.9776,nearby coordinates and similar name,20.1
0DD1F4E3-25E8-4201-828A-F5F2BA2495D7,Stockholms stad livsmedelskontroll,Sockerbagaren,Sockerbagaren,catalog,4268046679,0.9852,nearby coordinates and similar name,13.4
89C4429F-0CD4-4883-BDE0-2EF56ABD554A,Stockholms stad livsmedelskontroll,Sondor Sushi,Sondor Sushi,catalog,3578535132,0.9862,nearby coordinates and similar name,12.4
2B7447A6-B6AD-43DC-A3F8-81380BDFE64D,Stockholms stad livsmedelskontroll,Spice Corner,Spice Corner,catalog,674281488,0.9945,nearby coordinates and similar name,5.0
56DBFE08-BC84-4883-A305-43EF8A621039,Stockholms stad livsmedelskontroll,Spicy Villa,Spice Villa,catalog,3163490870,0.9349,nearby coordinates and similar name,33.3
E3E5F8D6-CBAB-4F12-A49B-2356FB31D2D4,Stockholms stad livsmedelskontroll,Spisa pizza,Spisa Pizza,catalog,2715571475,0.9936,nearby coordinates and similar name,5.8
0CDCF407-C651-46FF-8A89-6E923006F796,Stockholms stad livsmedelskontroll,Spritmuseum Restaurang,Spritmuseum,catalog,3648191128,0.954,nearby coordinates and similar name,41.4
4FB4A7A5-007B-48F8-AB20-17894D71FC2B,Stockholms stad livsmedelskontroll,Stockholms grill,Stockholm Grill,catalog,218139881,0.9559,nearby coordinates and similar name,31.0
9F503C68-58B4-41F0-B90D-87EF62A85DD1,Stockholms stad livsmedelskontroll,Stora Bageriet,Stora Bageriet,catalog,1439558318,0.9986,nearby coordinates and similar name,1.3
E72BDBF9-0500-4021-9CC8-750CFE21B115,Stockholms stad livsmedelskontroll,Storgatans Cafe & Bageri,Storgatans café & bageri,catalog,1085484598,0.9944,nearby coordinates and similar name,5.0
458A5B1B-4B60-47A6-BC8C-F1B237586E8D,Stockholms stad livsmedelskontroll,Sushi Kawa,Sushi Kawa,catalog,133910390,0.9876,nearby coordinates and similar name,11.2
498EC39C-9F75-4B87-AB63-B35577B34ABA,Stockholms stad livsmedelskontroll,Sushi Shop.,Sushi shop,catalog,2462621355,0.9963,nearby coordinates and similar name,3.3
A9132B79-7D96-4F0D-AB06-CB37985BF0DF,Stockholms stad livsmedelskontroll,Sushi Sun,Sushi Sun,catalog,1663896072,0.9882,nearby coordinates and similar name,10.6
B84EFD1A-DF95-49E0-8C06-31B618DDF800,Stockholms stad livsmedelskontroll,Svartengrens,Svartengrens,catalog,2896905742,0.9877,nearby coordinates and similar name,11.1
EE39CD59-EB63-4A28-911A-B7DDE7FB9BDE,Stockholms stad livsmedelskontroll,Södergrillen,Södergrillen,catalog,1762515673,0.9987,nearby coordinates and similar name,1.1
FD6DAB11-70A7-4AD4-ADFC-45435E3DEA93,Stockholms stad livsmedelskontroll,Södergruvan,Södergruvan,catalog,117228285,0.9956,nearby coordinates and similar name,4.0
B1F04488-8E7F-4482-ADD0-FDAF0B8807B9,Stockholms stad livsmedelskontroll,Tak,Tak,catalog,3094839927,0.9764,nearby coordinates and similar name,21.3
2C7DEBFA-58C7-4BBF-AC11-A098D7D2059E,Stockholms stad livsmedelskontroll,Tehran Grill,Tehran Grill,catalog,829267978,0.9957,nearby coordinates and similar name,3.9
68376BEA-E7D2-4EEF-BFA4-FF56049ABDB3,Stockholms stad livsmedelskontroll,Texas Longhorn,Texas Longhorn,catalog,4005203623,0.9915,nearby coordinates and similar name,7.6
D8EA783E-C304-45A7-A340-94C4FEB2DAC1,Stockholms stad livsmedelskontroll,Texas Longhorn,Texas Longhorn,catalog,4171915656,0.9911,nearby coordinates and similar name,8.0
A7A169D4-AF1E-45C6-9A5B-590C0FA2B93F,Stockholms stad livsmedelskontroll,Thai Rung,Thai Rung,catalog,1416634511,0.9956,nearby coordinates and similar name,4.0
A4533C07-CA50-4E78-8A47-D19A90F60E2C,Stockholms stad livsmedelskontroll,The Good Gringo,The Good Gringo,catalog,1728966666,0.9945,nearby coordinates and similar name,4.9
317D3A26-22A0-4387-B618-1D0D1F3C8AE3,Stockholms stad livsmedelskontroll,The Meeting Bar & Restaurant,The meeting bar & restaurant,catalog,1756122704,0.9788,nearby coordinates and similar name,19.1
7E639FDE-1F80-410C-B185-0552366B0CEE,Stockholms stad livsmedelskontroll,The-huset,Tehuset,catalog,4048353383,0.9761,nearby coordinates and similar name,4.7
04131A78-D2D6-440E-8E8F-959F5AD25D1B,Stockholms stad livsmedelskontroll,Thelins,Thelins,catalog,763097637,0.9939,nearby coordinates and similar name,5.5
0BE718CB-E3FC-49DB-BFC7-9706541E7BAA,Stockholms stad livsmedelskontroll,Thirdplace,Third Place,catalog,2429782086,0.9972,nearby coordinates and similar name,2.6
8C6D8971-1C8D-41EA-89D4-2A6894EB474B,Stockholms stad livsmedelskontroll,Tokyo Sushi,Tokyo Sushi,catalog,3380204319,0.9956,nearby coordinates and similar name,4.0
7609073E-4473-40AF-8A34-30D2935EB19B,Stockholms stad livsmedelskontroll,Tosca Pizzeria.,Tosca Pizzeria,catalog,503325451,0.9909,nearby coordinates and similar name,8.2
F4289B41-B2FF-45E5-AF8F-89A6F05CD53B,Stockholms stad livsmedelskontroll,Totemo Ramen,Totemo Ramen,catalog,537990915,0.9957,nearby coordinates and similar name,3.9
7B0B346A-1C7A-4B99-9B24-EDBCF4B0B255,Stockholms stad livsmedelskontroll,Tryffel,Restaurang Tryffel,catalog,663883796,0.98,nearby coordinates and similar name,18.0
1446B795-002F-4C44-8DEC-95AFDBD5AAB2,Stockholms stad livsmedelskontroll,Tutto Bello,Tutto Bello,catalog,2077009555,0.9972,nearby coordinates and similar name,2.5
364F9746-68F9-42E9-8E15-CF71294AFBEF,Stockholms stad livsmedelskontroll,Under Kastanjen,Under Kastanjen,catalog,188248202,0.9876,nearby coordinates and similar name,11.2
1BEF346B-F94C-4A7F-9398-8F9C56F8EAAF,Stockholms stad livsmedelskontroll,Urban Deli,Urban Deli,catalog,403904008,0.9784,nearby coordinates and similar name,19.5
1566AF93-70C7-450F-9A01-8CDC754B8115,Stockholms stad livsmedelskontroll,Valhallabageriet,Valhallabageriet,catalog,4269752708,0.9805,nearby coordinates and similar name,17.5
EFAE2E4E-DE6E-4360-BE91-4BA18518C2FA,Stockholms stad livsmedelskontroll,Vapiano,Vapiano,catalog,2409245194,0.9911,nearby coordinates and similar name,8.0
5E23B447-5BA2-4263-BEE2-A42BD1F2D0E3,Stockholms stad livsmedelskontroll,Vapiano,Vapiano,catalog,3573796592,0.9793,nearby coordinates and similar name,18.6
53662F87-DED2-478D-9B33-0F05DF11DAEA,Stockholms stad livsmedelskontroll,Västertorps Hjärta,Västertorps Hjärta,catalog,687452227,0.9778,nearby coordinates and similar name,20.0
BB5F2BFC-970A-42C2-82FC-89C1B1C4EE69,Stockholms stad livsmedelskontroll,Wallmans Salonger,Wallmans salonger,catalog,808219109,0.9845,nearby coordinates and similar name,13.9
AEF13968-F663-4E2B-8805-130934B96123,Stockholms stad livsmedelskontroll,Wang Asia sushi dumplings,Wang Sushi & Dumplings,catalog,2904091943,0.9658,nearby coordinates and similar name,5.6
0F88CB10-BD37-4AEE-B58F-0B8D8E604A8B,Stockholms stad livsmedelskontroll,Weidao,Weidao,catalog,2722483650,0.9816,nearby coordinates and similar name,16.5
378F397E-F844-4DF4-ADAF-DBCFFAA43DF3,Stockholms stad livsmedelskontroll,Yono Sabo,Yono Sabo,catalog,3823692481,0.9973,nearby coordinates and similar name,2.5
FE6F9578-CF03-4714-8C79-673E8B137D07,Stockholms stad livsmedelskontroll,Zaap Thai,ZAAP Thai,catalog,2265901402,0.9874,nearby coordinates and similar name,11.3
E8D5541B-D023-459E-810E-6DD0C6CBCB91,Stockholms stad livsmedelskontroll,Zios Pasta,Zio's pasta,catalog,1242591280,0.9777,nearby coordinates and similar name,20.1
CE28E772-87A6-4742-9418-317D9A6FB78A,Stockholms stad livsmedelskontroll,Åkermyntan Pizzeria,Åkermyntan Pizzeria,catalog,1635701185,0.996,nearby coordinates and similar name,3.6
0582683F-BED8-4123-B63D-2A0B07C92C55,Stockholms stad livsmedelskontroll,Årsta Kök,Årsta kök,catalog,3808310199,0.9754,nearby coordinates and similar name,22.1
117E6CDE-F1FB-459D-8780-4F9EA8633FAE,Stockholms stad livsmedelskontroll,Österlånggatan 17,Österlånggatan 17,catalog,2615288824,0.9477,nearby coordinates and similar name,47.1
D3E085A1-39B0-4168-9F69-1B8F1CFED064,Stockholms stad livsmedelskontroll,Östermalms pizzeria & Cafe,Östermalms Pizzeria & Café,catalog,4104451206,0.9837,nearby coordinates and similar name,14.7
73A647CC-9C37-4DB3-BF2B-66CF633E35BB,Stockholms stad livsmedelskontroll,Östermalmsgrillen,Östermalmsgrillen,catalog,4122899439,0.9518,nearby coordinates and similar name,43.4
